e,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
01,0.2916666666666667,0.19047619047619047,1.0,0.0,0.32
02,1.0,1.0,1.0,0.0,1.0
03,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
04,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
05,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
06,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
07,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
08,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
e,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
01,0.2916666666666667,0.19047619047619047,1.0,0.0,0.32
02,1.0,1.0,1.0,0.0,1.0
03,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
04,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
05,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
06,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
07,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
08,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
e,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
01,0.2916666666666667,0.19047619047619047,1.0,0.0,0.32
02,1.0,1.0,1.0,0.0,1.0
03,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
04,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
05,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
06,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
07,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
08,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
e,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
01,0.2916666666666667,0.19047619047619047,1.0,0.0,0.32
02,1.0,1.0,1.0,0.0,1.0
03,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
04,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
05,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
06,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
07,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
08,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
e,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
01,0.2916666666666667,0.19047619047619047,1.0,0.0,0.32
02,1.0,1.0,1.0,0.0,1.0
03,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
04,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
05,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
06,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
07,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
08,0.9583333333333334,1.0,0.9545454545454546,0.3333333333333333,0.9767441860465117
